"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"2418","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","441398-0170","4413980170","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TA5132","TA51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2419","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0108","4081050108","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO458,TO460","TO4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2420","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5342-710-0001","53427100001","Manufacturer/KKK;;Part Type/cartridge","","","","","","K42-4970KR38.21,K42-4970KR/38.21,K42-4970K/38.21","K42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2421","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027243","4027243","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX50","HX50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2422","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VAX70011","VAX70011","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHF3H-44002P9NHBRL315CBZ","RHF3","","","","","","","","Fiat,1999,PUNTO JTD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fiat,1999,PUNTO JTD"
"2423","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4032711","4032711","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX83","HX83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2424","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","443854-0092","4438540092","Manufacturer/Garrett;;Part Type/cartridge","6331","6331","[{""sku"":45140,""quantity"":1,""ti_part_sku"":[45311]},{""sku"":42869,""quantity"":1,""ti_part_sku"":[43738]},{""sku"":43901,""quantity"":1,""ti_part_sku"":[44670]},{""sku"":42131,""quantity"":1,""ti_part_sku"":[42760]}]","","","TB0268","T2","","","","","","","","Audi,1992,80 TD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Audi,1992,80 TD"
"2425","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433289-0096","4332890096","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":44754,""quantity"":1,""ti_part_sku"":[45072]},{""sku"":44755,""quantity"":1,""ti_part_sku"":[45073]},{""sku"":45150,""quantity"":1,""ti_part_sku"":[45320]},{""sku"":43895,""quantity"":1,""ti_part_sku"":[44663]},{""sku"":45145,""quantity"":1,""ti_part_sku"":[45316]}]","","","GT2056S","GT20","","","","","","","","S O F I M,1999,Mascott|Renault,1999,MASCOTT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S O F I M,1999,Mascott|Renault,1999,MASCOTT"
"2426","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433352-0019","4333520019","Manufacturer/Garrett;;Part Type/cartridge","6420","6420","[{""sku"":43940,""quantity"":1,""ti_part_sku"":[44692]},{""sku"":42175,""quantity"":1,""ti_part_sku"":[42772]},{""sku"":42905,""quantity"":1,""ti_part_sku"":[43769]},{""sku"":44752,""quantity"":1,""ti_part_sku"":[45068]}]","","","GT1749LS","GT17","","","","","","","","Hyundai,1995,CHRORUS BUS|Hyundai,1995,H350|Hyundai,1998,CHRORUS BUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyundai,1995,CHRORUS BUS|Hyundai,1995,H350|Hyundai,1998,CHRORUS BUS"
"2427","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","451298-0045","4512980045","Manufacturer/Garrett;;Part Type/cartridge","6534","6534","[{""sku"":45145,""quantity"":1,""ti_part_sku"":[45316]},{""sku"":45150,""quantity"":1,""ti_part_sku"":[45320]},{""sku"":43895,""quantity"":1,""ti_part_sku"":[44663]},{""sku"":42915,""quantity"":1,""ti_part_sku"":[43767]},{""sku"":44756,""quantity"":1,""ti_part_sku"":[45074]}]","","","GT2052S,GT2052","GT20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
