"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"1","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","700177-0001","7001770001","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT30BB","GT30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","444378-0001","4443780001","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":42160,""quantity"":1,""ti_part_sku"":[42769]}]","","","TL7804","TL78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","447450-0026","4474500026","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4E11","TO4E","","","","","","","","DAF,1990,FA65.180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DAF,1990,FA65.180"
"4","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","441398-0102","4413980102","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TA5101","TA51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","141059","141059","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","4D355","4D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","315049","315049","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S3A","S3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","318855","318855","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2BG","S2BG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5327-710-0104","53277100104","Manufacturer/KKK;;Part Type/cartridge","","","","","","K27-2964MXA/17.22","K27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","55051","55051","Manufacturer/Holset;;Part Type/cartridge","","","","","","4LGV504/3.25,4LGK414/3.25,4LGV504/4.00","4LGV,4LGK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","22587","22587","Manufacturer/Holset;;Part Type/cartridge","","","","","","4-350/190","4""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","434251-0044","4342510044","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4288","GT42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","434251-0026","4342510026","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4594","GT45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","442032-0043","4420320043","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV6502","TV65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408774-0040","4087740040","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV8118","TV81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","20855","20855","Manufacturer/Holset;;Part Type/cartridge","","","","","","6-1001N/303,6-1001N/200","6""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027269","4027269","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX82","HX82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","24058","24058","Manufacturer/Holset;;Part Type/cartridge","","","","","","3A276/236","3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","183589","183589","Manufacturer/KKK;;Part Type/cartridge","","","","","","4LG,4LG252D/32.22","4LG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409095-0005","4090950005","Manufacturer/Garrett;;Part Type/cartridge","","","","","","T18A55","T18A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","451497-0008","4514970008","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45144,""quantity"":1,""ti_part_sku"":[45314]}]","","","TB4137","TB41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","410103-0004","4101030004","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TC4402","TC44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408774-0036","4087740036","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV7202","TV72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408742-0079","4087420079","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV8134","TV81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","194396","194396","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","3LM39","3LM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49377-09032","4937709032","Manufacturer/Mitsubishi;;Part Type/cartridge","6644","6644","","","","TDO4L4-10TK31SS","TDO4","","","","","","","","Volkswagen,2006,CRAFTER TDI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volkswagen,2006,CRAFTER TDI"
"26","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4032651","4032651","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX40W","HX40W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","317832","317832","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S400","S400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","178181","178181","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S410WG047,S410W","S410WG,S410W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","312905","312905","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S4T","S4T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","315096","315096","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S4T","S4T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","315564","315564","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S200","S200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5333-710-0015","53337100015","Manufacturer/KKK;;Part Type/cartridge","","","","","","K33-4067MNA/18.21","K33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3503092","3503092","Manufacturer/Holset;;Part Type/cartridge","","","","","","4LGK705A/4.00","4LGK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49178-09130","4917809130","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TDO5H","TDO5H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","434251-0008","4342510008","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4288","GT42","","","","","","","","Volvo,1993,FH12|Volvo,1995,B12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volvo,1993,FH12|Volvo,1995,B12"
"36","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409043-0083","4090430083","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TV6145","TV61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","311949","311949","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2A","S2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","169311","169311","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2BW-085,S2BW085","S2BW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3502814","3502814","Manufacturer/Holset;;Part Type/cartridge","","","","","","H2B","H2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3545751","3545751","Manufacturer/Holset;;Part Type/cartridge","","","","","","H2D","H2D","","","","","","","","Volvo,1989,B10R|Volvo,1989,B10B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volvo,1989,B10R|Volvo,1989,B10B"
"41","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3545469","3545469","Manufacturer/Holset;;Part Type/cartridge","","","","","","HC5A","HC5A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","757360-0022","7573600022","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GTB4708BLN,GT47B08","GT47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","441398-0074","4413980074","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TA5109,TW5101","TA51,TW51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","444964-0001","4449640001","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TMF5102,TMF5101","TMF51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","703891-0066","7038910066","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45151,""quantity"":1,""ti_part_sku"":[45321]},{""sku"":42981,""quantity"":1,""ti_part_sku"":[43792]}]","","","GTA1856VK","GT18V","","","","","","","","Mercedes Benz,2002,E270 CDI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mercedes Benz,2002,E270 CDI"
"46","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","142768","142768","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","4MD-554,4D554","4MD,4D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","314100","314100","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2BG","S2BG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027864","4027864","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX35W","HX35W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","3596282","3596282","Manufacturer/Holset;;Part Type/cartridge","","","","","","HY30W","HY30W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","317592","317592","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S400","S400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","171903","171903","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S200S006,S200G006","S200S,S200G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5252-710-0009","52527100009","Manufacturer/KKK;;Part Type/cartridge","","","","","","4MF4867NDA/199,4MF4867NDA/215,4MF-4867NDA199","4MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4032239","4032239","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX35G","HX35G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4031407","4031407","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX55","HX55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49178-08970","4917808970","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TDO5HRA-16G6C/10.5,TDO5HR-16G6C/10.5T","TDO5H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VAX10013","VAX10013","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHE61-119002Q30NFBRLL539CB","RHE6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VAX10029","VAX10029","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHE62-110003Q27NMBRL543CAZ","RHE6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","434251-0039","4342510039","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4594L","GT45","","","","","","","","Volvo,1999,B12|Volvo,1999,BM12M|Volvo,2001,BM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volvo,1999,B12|Volvo,1999,BM12M|Volvo,2001,BM12"
"59","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409172-0113","4091720113","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45141,""quantity"":1,""ti_part_sku"":[45308]}]","","","TBO392","TBO3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","703891-0078","7038910078","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GTA2359VK","GT23V","","","","","","","","Mercedes Benz,2002,30 CDI AMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mercedes Benz,2002,30 CDI AMG"
"61","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027437","4027437","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX60","HX60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4027894","4027894","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX55","HX55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Toyota","17202-11013","1720211013","Manufacturer/Toyota;;Part Type/cartridge","","","","","","CT","CT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","4032663","4032663","Manufacturer/Holset;;Part Type/cartridge","","","","","","HX50","HX50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","178199","178199","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S200G-062","S200G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0175","4081050175","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TB4111","TB41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","443854-0143","4438540143","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":42127,""quantity"":1,""ti_part_sku"":[42750]}]","","","TBO287","TBO2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0052","4081050052","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45144,""quantity"":1,""ti_part_sku"":[45314]},{""sku"":43884,""quantity"":1,""ti_part_sku"":[44652]},{""sku"":44741,""quantity"":1,""ti_part_sku"":[45058]}]","","","TO4B28","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0265","4081050265","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4B42","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","408105-0179","4081050179","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4B47","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","447450-0083","4474500083","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45144,""quantity"":1,""ti_part_sku"":[45314]}]","","","TO4B59","TO4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","442032-0023","4420320023","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":45147,""quantity"":1,""ti_part_sku"":[45318]}]","","","TW8401","TW84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409174-0048","4091740048","Manufacturer/Garrett;;Part Type/cartridge","6257","6257","[{""sku"":42148,""quantity"":1,""ti_part_sku"":[42755]},{""sku"":42863,""quantity"":1,""ti_part_sku"":[43734]},{""sku"":45142,""quantity"":1,""ti_part_sku"":[45309]},{""sku"":43883,""quantity"":1,""ti_part_sku"":[44654]},{""sku"":44738,""quantity"":1,""ti_part_sku"":[45050]},{""sku"":42146,""quantity"":1,""ti_part_sku"":[42755]}]","","","TBO335,TB0352,TB0378,TB0371,TB0335,TBO352","TBO3,T3","","","","","","","","Dodge,1988,DAYTONA|Chrysler,1987,TURBO II|Chrysler,1989,TURBO II|Dodge,1988,SHELBY|Chrysler,1988,TURBO II|Chrysler,1984,LE BARON|Dodge,1984,400|Chrysler,1984,LASER|Dodge,1984,600ES|Dodge,1984,600|Dodge,1984,DAYTONA|Chrysler,1984,NEW YORKER|Chrysler,1985,LE BARON|Chrysler,1985,TURBO II|Dodge,1985,SHELBY|Dodge,1987,SHELBY|Mitsubishi,1985,LANCER|Dodge,1985,DAYTONA|PLYMOUTH,1986,CARAVELLE|Dodge,1985,600|Chrysler,1986,LASER|Dodge,1985,400|Chrysler,1985,NEW YORKER|Dodge,1985,600ES|Dodge,1986,OMNI GLH|Chrysler,1986,LE BARON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dodge,1988,DAYTONA|Chrysler,1987,TURBO II|Chrysler,1989,TURBO II|Dodge,1988,SHELBY|Chrysler,1988,TURBO II|Chrysler,1984,LE BARON|Dodge,1984,400|Chrysler,1984,LASER|Dodge,1984,600ES|Dodge,1984,600|Dodge,1984,DAYTONA|Chrysler,1984,NEW YORKER|Chrysler,1985,LE BARON|Chrysler,1985,TURBO II|Dodge,1985,SHELBY|Dodge,1987,SHELBY|Mitsubishi,1985,LANCER|Dodge,1985,DAYTONA|PLYMOUTH,1986,CARAVELLE|Dodge,1985,600|Chrysler,1986,LASER|Dodge,1985,400|Chrysler,1985,NEW YORKER|Dodge,1985,600ES|Dodge,1986,OMNI GLH|Chrysler,1986,LE BARON"
"74","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","451491-0016","4514910016","Manufacturer/Garrett;;Part Type/cartridge","","","","","","BTV7506","BTV75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","431876-0060","4318760060","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TE2701","TE27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
