"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","finder:1","finder:2","application_detail"
"6329","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Turbo International","1-A-2318","1A2318","Manufacturer/Turbo International;;Part Type/cartridge","","618","[{""alt_part_sku"":[],""ti_part_sku"":[42750],""sku"":42750,""quantity"":1},{""alt_part_sku"":[],""ti_part_sku"":[43738],""sku"":43738,""quantity"":1},{""alt_part_sku"":[],""ti_part_sku"":[44646],""sku"":44646,""quantity"":1},{""alt_part_sku"":[],""ti_part_sku"":[45111],""sku"":45111,""quantity"":1},{""alt_part_sku"":[],""ti_part_sku"":[45310],""sku"":45310,""quantity"":1}]","176.8000","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.1200000000","167.9600000000","176.8000000000","185.6400000000","194.4800000000","221.0000000000","141.4400000000","176.8000000000","128.1800000000","","","","","","","","","","","",""
"6633","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Turbo International","1-E-5093","1E5093","Manufacturer/Turbo International;;Part Type/cartridge","","3240","[{""alt_part_sku"":[],""ti_part_sku"":[45344],""sku"":45344,""quantity"":1}]","184.0000","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.6000000000","174.8000000000","184.0000000000","193.2000000000","202.4000000000","230.0000000000","147.2000000000","184.0000000000","133.4000000000","","","","","","","","","","","",""
