id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
43	8-A-4474	0.1200	0.0005	0.1650	0.0050	0.476	0.005	-99.000	0.005	0.2001	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
44	8-A-4509	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
45	8-A-5205	0.1215	0.0005	-99.0000	-99.0000	-99.000	-99.000	-99.000	0.005	0.2003	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	4
46	8-A-5946	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47	8-A-6102	0.1740	0.0005	0.2420	0.0050	0.978	0.005	-99.000	0.005	0.2958	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
48	8-A-6116	0.1750	0.0005	0.2420	0.0050	0.980	0.005	-99.000	0.005	0.3252	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
49	8-A-6237	0.1765	0.0005	0.7630	0.0050	1.263	0.005	1.263	0.005	0.3255	0.0005	0.672	0.003	0.605	0.005	0.070	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.200	1.022	8	0.076	8	0.076	20398	NULL	1
50	8-B-0099	0.2130	0.0005	0.3140	0.0050	1.085	0.005	-99.000	0.005	0.4380	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
51	8-B-0396	0.1300	0.0005	0.1800	0.0050	0.873	0.005	-99.000	0.005	0.5740	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
52	8-B-0982	0.2155	0.0050	-99.0000	-99.0000	-99.000	-99.000	-99.000	-99.000	0.4381	0.0005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
