id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
93	8-F-4245	0.2440	0.0005	0.4330	0.0050	-99.000	0.005	0.550	0.005	0.2403	0.0005	0.463	0.003	0.372	0.005	0.048	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
94	8-G-0031	0.1585	0.0005	0.2740	0.0050	0.726	0.005	0.726	0.005	0.2568	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
95	8-G-0511	0.1585	0.0005	0.2940	0.0050	0.726	0.005	0.726	0.005	0.2566	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
96	8-G-3474	0.1200	0.0005	0.1890	0.0050	0.590	0.005	-99.000	0.005	0.2012	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
97	8-G-4727	0.1210	0.0005	0.2360	0.0050	0.619	0.005	0.619	0.005	0.2013	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
98	8-G-4728	0.1210	0.0005	0.2360	0.0050	0.475	0.005	0.475	0.005	0.1618	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
99	8-G-4729	0.1600	0.0005	0.2950	0.0050	0.683	0.005	0.683	0.005	0.2258	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
100	8-G-4730	0.1200	0.0005	0.2360	0.0050	0.555	0.005	0.555	0.005	0.2013	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
101	8-G-4768	0.1190	0.0005	0.1890	0.0050	0.590	0.005	-99.000	0.005	0.2213	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
102	8-G-4769	0.1600	0.0005	0.2960	0.0050	0.684	0.005	0.684	0.005	0.2013	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
103	8-K-1135	0.1185	0.0005	0.2360	0.0050	0.638	0.005	0.628	0.005	0.1975	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
104	8-L-2297	0.2370	0.0005	0.3550	0.0050	1.658	0.005	-99.000	0.005	0.5918	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
105	8-L-2298	0.2370	0.0005	0.3550	0.0050	1.658	0.005	-99.000	0.005	0.5928	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
106	8-L-2350	0.1990	0.0005	0.2770	0.0050	1.259	0.005	-99.000	0.005	0.4028	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
107	8-L-2956	0.1990	0.0005	0.2970	0.0050	1.259	0.005	-99.000	0.005	0.4348	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
108	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
