id	part	cd_inducer_dia_a	cd_inducer_dia_a_tol	cd_exducer_dia_b	cd_exducer_dia_b_tol	cd_tip_height_c	cd_tip_height_c_tol	cd_platform_height_h	cd_shroud_type	cd_blade_height	cd_blade_count	cd_journal_type	cd_max_journal_diameter_d	cd_min_journal_diameter_d	cd_max_stem_diameter_e	cd_min_stem_diameter_e	cd_stem_length_f	cd_stem_length_f_tol	cd_thread_hand	cd_thread_length_g	cd_piston_ring_groove_major_dia_i	cd_piston_ring_groove_major_dia_i_tol	cd_piston_ring_groove_minor_dia_j	cd_piston_ring_groove_minor_dia_j_tol	cd_piston_ring_groove_width_k	cd_piston_ring_groove_width_k_tol	cd_2nd_piston_ring_groove_major_dia	cd_2nd_piston_ring_groove_major_dia_tol	cd_2nd_piston_ring_groove_minor_dia	cd_2nd_piston_ring_groove_minor_dia_tol	cd_2nd_piston_ring_groove_width	cd_2nd_piston_ring_groove_width_tol	cd_rotation	cd_weight	cd_thread	cd_extended_tips	cd_diagram_
194	2-D-5606	2.165	0.005	1.358	0.002	0.264	0.005	1.60	20375	1.86	9	19892	0.2364	0.2361	0.1614	0.1611	1.73	0.01	20403	0.62	0.370	0.003	0.305	0.005	0.056	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	87.7	20886	0	NULL
195	2-D-5617	1.515	0.005	0.990	0.002	0.175	0.005	1.61	20375	1.78	10	19891	0.2364	0.2361	0.1614	0.1611	1.71	0.01	20403	0.60	0.370	0.003	0.306	0.005	0.060	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	42.8	20886	0	NULL
196	2-D-5726	1.222	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	9	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	NULL	NULL	NULL	NULL
197	2-D-5733	NULL	0.005	1.752	0.002	0.333	0.005	1.94	20375	2.27	9	19892	0.2756	0.2753	0.1813	0.1810	1.94	0.01	20403	0.70	0.530	0.003	0.450	0.005	0.057	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	184.0	20890	0	NULL
198	2-D-5749	1.969	0.005	2.315	0.002	0.401	0.005	2.96	NULL	3.36	12	19892	0.3923	0.3920	0.2758	0.2755	2.78	0.01	20403	0.71	0.736	0.003	0.630	0.005	0.113	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	360.8	20914	0	NULL
199	2-D-5755	2.758	0.005	2.466	0.002	0.416	0.005	2.96	20376	3.37	12	19892	0.3923	0.3920	0.2756	0.2753	2.74	0.01	20403	0.77	0.736	0.003	0.634	0.005	0.114	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	369.0	20914	0	NULL
200	2-D-5759	2.754	0.005	2.681	0.002	0.461	0.005	2.96	20376	3.42	11	19892	0.3923	0.3920	0.2756	0.2753	2.79	0.01	20403	0.70	0.734	0.003	0.629	0.005	0.112	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	446.3	20914	0	NULL
201	2-D-5778	2.992	0.005	1.272	0.002	0.228	0.005	1.60	20375	1.82	9	19892	0.2362	0.2359	0.1614	0.1611	1.72	0.01	20403	0.61	0.370	0.003	0.306	0.005	0.060	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	20886	NULL	NULL
202	2-D-5783	1.516	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	0.003	NULL	0.005	NULL	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	NULL	NULL	NULL
203	2-D-5784	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
204	2-D-5785	NULL	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	0.003	NULL	0.005	NULL	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	NULL	NULL	NULL
205	2-D-5909	NULL	0.005	1.654	0.002	0.248	0.005	2.22	20376	2.47	12	19892	0.3341	0.3338	0.2128	0.2125	2.04	0.01	20403	0.83	0.525	0.003	0.450	0.005	0.060	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	150.9	20896	0	NULL
206	2-D-6066	1.969	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	20403	NULL	NULL	0.003	NULL	0.005	NULL	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	20896	NULL	NULL
207	2-D-6123	NULL	0.005	1.654	0.002	0.336	0.005	1.94	NULL	2.28	9	19892	0.2756	0.2753	0.1813	0.1810	1.95	0.01	20403	0.83	0.526	0.003	0.452	0.005	0.059	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	180.5	20890	0	NULL
208	2-D-6194	1.971	0.005	1.503	0.002	0.273	0.005	1.94	20375	2.21	11	NULL	0.2756	0.2753	0.1813	0.1810	1.94	0.01	20403	0.71	0.527	0.003	0.456	0.005	0.059	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	20890	NULL	NULL
209	2-E-4172	1.691	0.005	1.796	0.002	0.330	0.005	1.74	20376	2.07	12	19892	0.2955	0.2952	0.1970	0.1967	1.93	0.01	20403	0.61	0.605	0.003	0.500	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	153.0	20896	NULL	NULL
210	2-E-4184	2.042	0.005	1.741	0.002	0.297	0.005	1.74	20376	2.03	12	19892	0.2955	0.2952	0.1973	0.1970	1.93	0.01	20403	0.61	0.605	NULL	0.500	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	151.0	20896	NULL	NULL
211	2-E-4206	2.045	0.005	1.624	0.002	0.390	0.005	1.74	20376	2.13	12	19892	0.2955	0.2952	0.1973	0.1970	1.93	0.01	20402	0.61	0.605	NULL	0.500	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	123.9	20896	NULL	NULL
212	2-E-4308	1.852	0.005	1.091	0.002	0.180	0.005	1.54	20375	1.72	11	19892	0.2362	0.2359	0.1576	0.1573	1.68	0.01	20403	0.51	0.468	NULL	0.376	NULL	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	60.1	20888	NULL	NULL
213	2-E-4546	1.458	0.005	1.421	0.002	0.244	0.005	1.74	20376	1.99	11	19892	0.2756	0.2753	0.1970	0.1967	1.92	0.01	20403	0.55	0.603	NULL	0.502	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	89.1	20896	0	NULL
214	2-E-4547	1.701	0.005	1.575	0.002	0.254	0.005	1.74	20376	2.00	12	19892	0.2953	0.2950	0.1970	0.1967	1.92	0.01	20403	0.60	0.603	0.003	0.502	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	122.2	20896	0	NULL
215	2-E-4548	1.858	0.005	1.933	0.002	0.365	0.005	1.95	20376	2.32	12	19892	0.3558	0.3555	0.2570	0.2567	2.18	0.01	20403	0.63	0.665	NULL	0.563	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	176.2	20520	0	NULL
216	2-E-4549	2.204	0.005	1.239	0.002	0.220	0.005	1.76	20375	1.54	12	19892	0.2368	0.2365	0.1580	0.1577	1.68	0.01	20403	0.53	0.469	0.003	0.379	0.005	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	68.7	20888	0	NULL
217	2-E-4550	1.457	0.005	1.798	0.002	0.318	0.005	1.74	20376	2.06	12	19892	0.2953	0.2950	0.1970	0.1967	1.92	0.01	20403	0.60	0.603	NULL	0.502	NULL	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	154.0	20896	0	NULL
218	2-E-4551	2.046	0.005	1.623	0.002	0.291	0.005	1.74	20376	2.03	12	19892	0.2953	0.2950	0.1970	0.1967	1.94	0.01	20403	0.67	0.603	0.003	0.502	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	123.1	20896	0	NULL
219	2-E-4552	1.858	0.005	1.482	0.002	0.264	0.005	1.74	20376	2.01	11	19892	0.2756	0.2753	0.1970	0.1967	1.92	0.01	20403	0.63	0.603	0.003	0.502	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	91.7	20896	0	NULL
220	2-E-4553	1.693	0.005	1.622	0.002	0.295	0.005	1.74	20376	2.03	11	19892	0.2953	0.2950	0.1970	0.1967	1.91	0.01	20403	0.60	0.603	0.003	0.502	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	111.4	20896	0	NULL
221	2-E-4554	1.858	0.005	1.384	0.002	0.255	0.005	1.55	20376	1.81	11	19892	0.2362	0.2359	0.1577	0.1574	1.68	0.01	20403	0.48	0.470	0.003	0.375	0.005	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	75.0	20888	0	NULL
222	2-E-4873	1.583	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
223	2-E-4898	NULL	0.005	1.508	0.002	0.258	0.005	1.74	20376	2.00	11	19892	0.2954	0.2951	0.1970	0.1967	1.91	0.01	20403	0.60	0.600	0.003	0.500	0.005	0.068	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	121.5	20896	0	NULL
224	2-E-5253	1.850	0.005	1.482	0.002	0.291	0.005	1.74	20375	2.03	11	19892	0.2756	0.2753	0.1970	0.1967	1.91	0.01	20403	0.60	0.582	0.003	0.500	0.005	0.066	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	112.2	20896	0	NULL
225	2-E-5786	1.697	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	NULL
226	2-E-5838	NULL	0.005	1.370	0.002	0.254	0.005	1.56	20376	1.81	12	19892	0.2362	0.2359	0.1574	0.1571	1.72	0.01	20403	0.53	0.468	0.003	0.378	0.005	0.047	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	78.6	20888	0	NULL
227	2-E-5845	1.569	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	0.003	NULL	0.005	NULL	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	NULL	NULL	NULL
228	2-E-5878	NULL	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	-0.0003	NULL	-0.0003	NULL	0.01	NULL	NULL	NULL	0.003	NULL	0.005	NULL	NULL	-99.000	NULL	-99.000	NULL	-99.000	0.001	20336	NULL	NULL	NULL	NULL
229	2-F-1306	NULL	0.005	1.692	0.002	0.205	0.005	1.88	20376	2.08	9	19892	0.3150	0.3147	0.2009	0.2006	1.91	0.01	20403	0.32	0.570	0.003	0.480	0.005	0.049	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	149.3	20894	NULL	NULL
230	2-F-4010	2.066	0.005	1.395	0.002	0.184	0.005	1.91	20376	2.09	9	19892	0.2910	0.2907	0.2000	0.1997	1.64	0.01	20403	0.29	0.568	0.003	0.478	0.005	0.049	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	102.7	20894	NULL	NULL
231	2-F-4020	1.827	0.005	2.442	0.002	0.401	0.005	2.54	20376	2.94	11	19892	0.4489	0.4486	0.3031	0.3028	2.78	0.01	20403	0.49	0.627	0.003	0.555	0.005	0.050	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	396.0	20912	1	NULL
232	2-F-4404	2.710	0.005	1.578	0.002	0.230	0.005	2.03	20376	2.26	9	19892	0.3147	0.3144	0.2005	0.2002	1.79	0.01	20403	0.29	0.650	0.003	0.551	0.005	0.047	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	127.0	20894	NULL	NULL
233	2-F-4555	2.103	0.005	1.890	0.002	0.375	0.005	2.20	20376	2.58	11	19892	0.3545	0.3542	0.2404	0.2401	2.27	0.01	20403	0.53	0.650	NULL	0.547	NULL	0.045	0.001	-99.000	0.003	-99.000	0.005	-99.000	0.001	20336	188.7	20904	0	NULL
