id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_cwc_dia_e	cd_cwc_dia_e_tol	cd_bore_dia	cd_bore_dia_tol	cd__mounting_holes	cd_mounting_hole_dia	cd_mounting_hole_thread_callout	cd_dyn_cs	cd_matl	cd_oal	cd_oal_tol	cd_hub_pos_f	cd_hub_pos_f_tol	cd_cc_loc_pos_g	cd_cc_loc_pos_g_tol	cd_lead_in_chmfr_12angle	cd_lead_in_chmfr_len	cd_superback_flatback	cd_weight	cd_diagram_
113	5-D-2280	4.445	0.005	2.982	0.005	1.418	0.002	-99.000	-99.000	2.015	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.205	0.002	0.150	0.005	58.0	0.011	20368	150.9	7
114	5-D-2572	4.445	0.005	2.821	0.005	1.418	0.002	-99.000	-99.000	1.813	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.191	0.002	0.150	0.005	30.0	0.015	20368	NULL	7
115	5-D-3122	4.445	0.005	2.979	0.005	1.418	0.002	-99.000	-99.000	1.861	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	151.2	7
116	5-D-3127	4.445	0.005	2.979	0.005	1.418	0.002	-99.000	-99.000	1.819	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	150.3	7
117	5-D-3128	4.285	0.005	2.979	0.005	1.418	0.002	-99.000	-99.000	1.849	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.656	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	142.9	7
118	5-D-3132	4.445	0.005	3.355	0.005	1.418	0.002	-99.000	-99.000	2.049	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	174.8	7
119	5-D-3369	4.285	0.005	3.255	0.005	1.418	0.002	-99.000	-99.000	2.049	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	NULL	NULL	20368	154.9	7
120	5-D-3589	4.363	0.005	3.556	0.005	1.418	0.002	4.245	0.005	2.051	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.317	0.005	58.0	0.011	20368	194.8	7
121	5-D-3605	4.445	0.005	3.416	0.005	1.418	0.002	-99.000	-99.000	2.257	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	170.0	7
122	5-D-3633	4.285	0.005	3.355	0.005	1.418	0.002	-99.000	-99.000	2.049	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	161.9	7
123	5-D-3982	4.286	0.005	3.355	0.005	1.418	0.002	-99.000	-99.000	2.257	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	58.0	0.011	20368	158.8	7
124	5-D-4522	4.285	0.005	3.360	0.005	1.418	0.005	-99.000	-99.000	1.857	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.656	0.005	0.148	0.002	0.150	0.005	30.0	0.038	20368	168.6	7
125	5-D-4685	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
126	5-D-4686	4.285	0.005	2.992	0.005	1.418	0.002	-99.000	-99.000	2.051	0.005	0.3950	0.0010	0	-99.000	20411	19772	19729	0.661	0.005	0.160	0.002	0.150	0.005	NULL	NULL	20368	140.5	7
127	5-D-4998	4.444	NULL	2.822	NULL	1.649	NULL	NULL	NULL	1.875	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.660	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	136.8	NULL
128	5-D-4999	4.444	NULL	3.354	NULL	1.650	NULL	NULL	NULL	2.054	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.660	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	168.9	NULL
129	5-D-5000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
130	5-D-5287	4.285	NULL	3.353	NULL	1.650	NULL	NULL	NULL	2.251	NULL	0.3950	NULL	NULL	NULL	NULL	19772	NULL	0.660	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	160.9	NULL
131	5-D-5586	4.250	NULL	-99.000	NULL	2.128	NULL	NULL	NULL	2.028	NULL	0.5510	NULL	NULL	NULL	NULL	NULL	NULL	0.494	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	147.3	NULL
132	5-D-5597	4.640	NULL	-99.000	NULL	2.133	NULL	NULL	NULL	2.558	NULL	0.5520	NULL	NULL	NULL	NULL	NULL	NULL	0.659	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	222.9	NULL
133	5-D-5729	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
134	5-D-5736	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
135	5-D-5752	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
136	5-D-5758	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
137	5-D-5762	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
138	5-D-5774	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
139	5-D-5795	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
140	5-D-5796	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
141	5-D-5797	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
142	5-D-5900	4.647	NULL	4.477	NULL	2.132	NULL	NULL	NULL	2.222	NULL	0.5510	NULL	NULL	NULL	NULL	19772	NULL	0.476	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20369	169.5	NULL
143	5-D-5912	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
144	5-D-5935	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
145	5-D-5954	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
146	5-E-4699	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
147	5-E-5798	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
148	5-F-4017	4.876	NULL	3.856	NULL	2.244	NULL	NULL	NULL	1.890	NULL	0.3937	NULL	NULL	NULL	NULL	19772	NULL	0.596	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	NULL	NULL
149	5-F-4023	6.572	NULL	5.867	NULL	3.228	NULL	NULL	NULL	3.329	NULL	0.5500	NULL	NULL	NULL	NULL	19772	NULL	0.577	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20368	416.5	NULL
150	5-F-4302	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
151	5-F-4407	4.698	NULL	4.172	NULL	2.324	NULL	NULL	NULL	2.220	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.508	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	137.8	NULL
152	5-F-4688	4.702	NULL	4.178	NULL	2.520	NULL	NULL	NULL	2.410	NULL	0.4890	NULL	NULL	NULL	NULL	NULL	NULL	0.582	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	211.7	NULL
153	5-F-4689	5.505	NULL	4.445	NULL	2.245	NULL	NULL	NULL	2.094	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.583	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	254.1	NULL
154	5-F-4692	5.500	NULL	4.446	NULL	2.325	NULL	NULL	NULL	2.092	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.626	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	247.6	NULL
155	5-F-4693	5.500	NULL	4.446	NULL	2.245	NULL	NULL	NULL	1.880	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.583	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	244.1	NULL
156	5-F-4694	5.175	NULL	4.633	NULL	2.522	NULL	NULL	NULL	2.604	NULL	0.4890	NULL	NULL	NULL	NULL	NULL	NULL	0.619	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	246.4	NULL
157	5-F-4750	5.500	NULL	4.466	NULL	2.240	NULL	NULL	NULL	1.934	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.582	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	262.0	NULL
158	5-F-5256	5.500	NULL	4.446	NULL	2.325	NULL	NULL	NULL	2.100	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.629	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	250.2	NULL
159	5-F-5260	5.029	NULL	4.659	NULL	2.320	NULL	NULL	NULL	2.240	NULL	0.3950	NULL	NULL	NULL	NULL	NULL	NULL	0.506	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	180.2	NULL
160	5-F-6026	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
161	5-G-4694	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
162	5-G-4699	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
163	5-G-4868	5.295	NULL	4.921	NULL	2.145	NULL	NULL	NULL	2.070	NULL	0.4330	NULL	NULL	NULL	NULL	19772	NULL	0.744	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	221.0	NULL
164	5-G-4869	5.295	NULL	4.921	NULL	2.143	NULL	NULL	NULL	2.067	NULL	0.4340	NULL	NULL	NULL	NULL	NULL	NULL	0.746	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	217.2	NULL
165	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
