id	part	cd_inducer_diameter_a	cd_inducer_diameter_a_tol	cd_exducer_diameter_b	cd_exducer_diameter_b_tol	cd_rotation	cd_overall_height_c	cd_tip_height_d	cd_tip_height_d_tol	cd_platform_height_e	cd_extended_tips	cd_platform_diameter_f	cd_platform_diameter_f_tol	cd_threaded_bore	cd_boreless	cd_thread_callout	cd_thread_hand	cd_max_bore_diameter	cd_min_bore_diameter	cd_nose_diameter_g	cd_foot_diameter_h	cd_flatback_superback	cd_blade_height	cd_blade_count	cd_weight	cd_platform_thickness	cd_platform_thickness_tol	cd_tip_location	cd_tip_location_tol	cd_diagram_	cd_platform_height_tol
321	3-E-4911	1.343	0.002	1.732	0.005	NULL	0.78	0.167	0.004	0.063	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.305	20368	NULL	6	20.4	0.036	0.002	0.230	0.002	NULL	0.002
322	3-E-4928	1.512	0.002	2.008	0.005	20336	1.00	0.157	0.004	0.076	0	2.008	0.005	0	0	20411	20401	0.1971	0.1967	0.48	0.400	20368	0.8	6	34.3	0.036	0.002	0.233	0.002	NULL	0.002
323	3-E-5395	1.624	0.002	2.285	0.005	NULL	0.99	0.217	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	12	NULL	0.070	0.002	0.217	0.002	NULL	0.002
324	3-E-5398	1.515	0.002	2.008	0.005	20336	0.99	0.158	NULL	0.074	0	2.008	0.005	0	0	20411	20401	0.1971	0.1967	0.49	0.400	20368	0.8	6	34.8	0.038	0.002	0.232	NULL	NULL	0.002
325	3-E-5399	1.397	0.002	1.930	0.005	NULL	0.96	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.391	20368	NULL	6	29.2	0.045	0.002	NULL	NULL	NULL	0.002
326	3-E-5400	1.450	0.002	1.930	0.005	NULL	0.95	0.171	0.004	0.075	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.392	20368	NULL	6	28.9	0.040	0.002	0.246	0.002	NULL	0.002
327	3-E-5790	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
328	3-E-5879	1.168	0.002	1.575	0.005	NULL	0.71	0.178	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	6	15.1	0.037	0.002	0.178	0.002	NULL	0.002
329	3-E-6198	1.437	0.002	2.008	0.005	NULL	0.94	0.146	0.004	0.077	0	NULL	0.005	0	NULL	20411	20401	0.1971	0.1967	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.223	0.002	NULL	0.002
330	3-F-1291	1.377	0.002	1.968	0.005	NULL	0.95	0.148	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	5	27.0	0.025	0.002	0.148	0.002	NULL	0.002
331	3-F-1292	1.262	0.002	2.010	0.005	NULL	0.89	0.120	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.120	0.002	NULL	0.002
332	3-F-1293	1.337	0.002	2.010	0.005	NULL	0.89	0.149	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	5	26.5	0.025	0.002	0.149	0.002	NULL	0.002
333	3-F-1294	1.517	0.002	2.055	0.005	NULL	0.89	0.186	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	5	30.0	0.040	0.002	0.186	0.002	NULL	0.002
334	3-F-1295	1.625	0.002	2.068	0.005	NULL	0.95	0.215	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	5	30.7	0.025	0.002	0.215	0.002	NULL	0.002
335	3-F-1296	1.552	0.002	2.068	0.005	NULL	0.89	0.197	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.197	0.002	NULL	0.002
336	3-F-1719	1.320	0.002	2.010	0.005	NULL	0.95	0.134	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	5	26.3	0.025	0.002	0.134	0.002	NULL	0.002
337	3-F-1967	1.448	0.002	2.068	0.005	NULL	0.95	0.172	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.172	0.002	NULL	0.002
338	3-F-4009	1.226	0.002	1.810	0.005	NULL	0.98	0.181	0.004	0.050	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.365	20368	NULL	5	20.4	0.030	0.002	0.231	0.002	NULL	0.002
339	3-F-4021	2.387	0.002	3.228	0.005	NULL	1.68	0.259	0.004	0.211	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.486	20368	NULL	5	122.0	0.045	0.002	0.470	0.002	NULL	0.002
340	3-F-4405	1.706	0.002	2.204	0.005	NULL	1.13	0.236	0.004	0.065	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.380	20368	NULL	6	48.9	0.039	0.002	0.301	0.002	NULL	0.002
341	3-F-4599	1.826	0.002	2.361	0.005	NULL	1.34	0.261	0.004	0.140	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.423	20368	NULL	6	56.4	0.045	0.002	0.401	0.002	NULL	0.002
342	3-F-4600	1.939	0.002	2.068	0.005	NULL	1.01	0.105	0.004	0.053	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.375	20368	NULL	7	33.3	0.040	0.002	0.158	0.002	NULL	0.002
343	3-F-4601	1.476	0.002	2.069	0.005	NULL	1.00	0.194	0.004	0.022	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.380	20368	NULL	10	29.5	0.040	0.002	0.216	0.002	NULL	0.002
344	3-F-4602	2.020	0.002	2.756	0.005	NULL	1.39	0.242	0.004	0.164	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.448	20368	NULL	6	67.0	0.045	0.002	0.406	0.002	NULL	0.002
345	3-F-4603	1.435	0.002	2.068	0.005	NULL	0.96	0.177	0.004	0.061	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.375	20368	NULL	10	28.8	0.038	0.002	0.238	0.002	NULL	0.002
346	3-F-4604	1.321	0.002	1.890	0.005	NULL	0.96	0.175	0.004	0.050	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.375	20368	NULL	6	26.9	0.040	0.002	0.225	0.002	NULL	0.002
347	3-F-4605	1.335	0.002	1.890	0.005	NULL	0.96	0.146	0.004	0.050	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.368	20368	NULL	6	25.0	0.040	0.002	0.196	0.002	NULL	0.002
348	3-F-4606	1.375	0.002	1.851	0.005	NULL	0.98	0.187	0.004	0.054	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.373	20368	NULL	6	27.7	0.040	0.002	0.241	0.002	NULL	0.002
349	3-F-5218	1.354	0.002	1.851	0.005	NULL	1.17	0.159	0.004	0.148	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.476	20368	NULL	6	28.3	0.040	0.002	0.307	0.002	NULL	0.002
350	3-F-5259	1.705	0.002	2.205	0.005	NULL	1.12	0.187	0.004	0.060	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.390	20368	NULL	6	38.8	0.034	0.002	0.247	0.002	NULL	0.002
351	3-F-6024	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
352	3-F-6156	1.918	0.002	2.560	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
353	3-F-6224	NULL	0.002	NULL	0.005	NULL	NULL	0.220	0.004	0.062	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.282	0.002	NULL	0.002
354	3-G-1877	1.422	0.002	2.240	0.005	NULL	0.96	0.167	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.550	20371	NULL	5	31.8	0.040	0.002	0.167	0.002	NULL	0.002
355	3-G-1878	1.560	0.002	2.240	0.005	NULL	0.96	0.160	0.004	0.025	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.570	20370	NULL	6	46.4	0.040	0.002	0.185	0.002	NULL	0.002
356	3-G-1900	1.792	0.002	2.560	0.005	NULL	1.09	0.195	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.550	20371	NULL	5	55.4	0.045	0.002	0.195	0.002	NULL	0.002
357	3-G-1901	1.655	0.002	2.560	0.005	NULL	1.09	0.187	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.550	20371	NULL	5	54.9	0.045	0.002	0.187	0.002	NULL	0.002
358	3-G-3202	1.690	0.002	2.283	0.005	NULL	1.12	0.216	0.004	0.039	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.438	20368	NULL	5	39.0	0.050	0.002	0.255	0.002	NULL	0.002
359	3-G-4607	1.538	0.002	2.283	0.005	NULL	1.05	0.182	0.004	0.092	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.388	20368	NULL	6	48.8	0.040	0.002	0.274	0.002	NULL	0.002
360	3-G-4608	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
361	3-G-4609	1.534	0.002	2.244	0.005	NULL	0.98	0.167	0.004	0.020	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.569	20368	NULL	5	35.7	0.045	0.002	0.187	0.002	NULL	0.002
362	3-G-4610	1.071	0.002	1.573	0.005	NULL	0.84	0.136	0.004	0.071	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.390	20368	NULL	5	15.5	0.038	0.002	0.207	0.002	NULL	0.002
363	3-G-4611	1.178	0.002	1.969	0.005	NULL	0.93	0.134	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.560	20372	NULL	4	25.8	0.040	0.002	0.134	0.002	NULL	0.002
364	3-G-4612	1.420	0.002	2.010	0.005	NULL	0.99	0.188	0.004	0.096	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.390	20368	NULL	6	31.9	0.040	0.002	0.284	0.002	NULL	0.002
365	3-G-4613	1.420	0.002	2.010	0.005	NULL	0.98	0.159	0.004	0.094	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.392	20368	NULL	6	32.2	0.040	0.002	0.253	0.002	NULL	0.002
366	3-G-4961	NULL	0.002	NULL	0.005	NULL	NULL	0.201	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.201	0.002	NULL	0.002
367	3-G-4962	1.265	0.002	2.127	0.005	NULL	0.93	0.145	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	-99.000	20369	NULL	4	28.0	0.045	0.002	0.145	0.002	NULL	0.002
368	3-G-4963	1.339	0.002	1.890	0.005	NULL	0.91	0.193	0.004	0.025	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.392	20368	NULL	4	22.2	0.050	0.002	0.218	0.002	NULL	0.002
369	3-G-4964	1.300	0.002	1.969	0.005	NULL	0.91	0.162	0.004	0.022	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.392	20368	NULL	4	26.4	0.050	0.002	0.184	0.002	NULL	0.002
370	3-G-5849	NULL	0.002	NULL	0.005	NULL	NULL	0.174	0.004	-99.000	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.174	0.002	NULL	0.002
371	3-G-5927	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
372	3-G-6202	1.811	0.002	2.559	0.005	NULL	1.16	0.210	0.004	0.073	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	0.522	20368	NULL	5	57.0	0.045	0.002	0.283	0.002	NULL	0.002
373	3-K-3776	NULL	0.002	NULL	0.005	NULL	NULL	0.236	0.004	0.147	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	0.383	0.002	NULL	0.002
374	9-Z-9999	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	20411	20401	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	NULL
