id	part	cd_max_thickness_a	cd_min_thickness_a	cd_od_b	cd_od_b_tol	cd_id_c	cd_id_c_tol	cd_num_ramps_te	cd_num_ramps_ce	cd_degrees_of_ramps	cd_te_ramp_dia_d	cd_te_ramp_dia_d_tol	cd_ce_ramp_dia_e	cd_ce_ramp_dia_e_tol	cd_te_ramp_drain_dia_f	cd_te_ramp_drain_dia_f_tol	cd_ce_ramp_drain_dia_g	cd_ce_ramp_drain_dia_g_tol	cd_material	cd_weight	cd_num_locating_holes	cd_dia_locating_holes	cd_rotation	cd_diagram_
90	8-F-3687	0.0440	0.0430	0.669	0.005	0.346	0.005	3	0	360	0.520	0.005	-99.000	0.005	0.622	0.005	-99.000	0.005	20384	NULL	0	-99.000	20336	NULL
91	8-F-3688	0.1480	0.1470	1.389	0.005	0.336	0.005	0	3	360	0.559	0.005	-99.000	0.005	0.637	0.005	-99.000	0.005	20390	NULL	0	-99.000	20336	NULL
92	8-F-3877	0.1480	0.1470	1.388	0.005	0.336	0.005	0	3	270	0.560	0.005	-99.000	0.005	0.630	0.005	-99.000	0.005	20390	NULL	3	0.135	20336	NULL
93	8-F-3892	0.4310	0.4300	0.564	0.005	0.278	0.005	3	0	360	0.425	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	0	-99.000	20336	NULL
94	8-F-3893	0.1340	0.1330	1.202	0.005	0.276	0.005	0	3	270	0.472	0.005	-99.000	0.005	0.552	0.005	-99.000	0.005	20390	NULL	3	0.134	20336	NULL
95	8-F-4188	0.1330	0.1320	1.202	0.005	0.276	0.005	0	3	270	0.472	0.005	-99.000	0.005	0.552	0.005	-99.000	0.005	20390	NULL	3	0.131	20336	NULL
96	8-F-4246	0.5510	0.5500	0.771	0.005	0.393	0.005	6	0	360	0.709	0.005	-99.000	0.005	0.709	0.005	-99.000	0.005	20390	NULL	0	-99.000	20336	NULL
97	8-F-4248	0.1620	0.1610	1.536	0.005	0.390	0.005	0	3	270	0.670	0.005	-99.000	0.005	0.740	0.005	-99.000	0.005	20390	NULL	3	0.131	20336	NULL
98	8-F-5209	0.1310	0.1300	1.413	0.005	0.426	0.005	6	6	360	0.705	0.005	0.630	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	4	0.135	20336	NULL
99	8-G-0495	0.1580	0.1570	1.962	0.005	0.440	0.005	0	3	270	0.722	0.005	0.722	0.005	0.818	0.005	0.818	0.005	20395	NULL	1	0.165	20336	NULL
100	8-G-2148	0.1570	0.1560	1.765	0.005	0.415	0.005	3	3	270	0.654	0.005	0.654	0.005	0.772	0.005	0.772	0.005	20390	NULL	1	0.157	20336	NULL
101	8-G-2150	0.1180	0.1170	1.584	0.005	0.360	0.005	6	6	360	0.593	0.005	0.550	0.005	0.700	0.005	-99.000	0.005	20390	NULL	1	0.158	20336	NULL
102	8-G-3840	0.1170	0.1160	2.140	0.005	0.350	0.005	3	3	270	0.606	0.005	0.606	0.005	-99.000	0.005	-99.000	0.005	20395	NULL	4	0.259	20336	NULL
103	8-G-4722	0.1185	0.1195	1.962	0.005	0.296	0.005	3	3	270	0.512	0.005	0.512	0.005	-99.000	0.005	-99.000	0.005	20395	NULL	3	0.180	20336	NULL
104	8-G-4723	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
105	8-G-4724	0.1185	0.1195	2.138	0.005	0.340	0.005	3	3	270	0.590	0.005	0.590	0.005	-99.000	0.005	-99.000	0.005	20395	NULL	4	0.260	20336	NULL
106	8-G-4760	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
107	8-J-0001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
108	8-K-1134	0.1170	0.1160	1.806	0.005	0.398	0.005	3	3	270	0.600	0.005	0.600	0.005	0.720	0.005	0.720	0.005	20390	NULL	4	0.179	20336	NULL
109	8-K-3152	0.1170	0.1160	1.570	0.005	0.392	0.005	3	3	270	0.598	0.005	0.599	0.005	0.692	0.005	0.692	0.005	20390	NULL	4	0.164	20336	NULL
110	8-L-2250	0.1170	0.1160	1.963	0.005	0.675	0.005	10	4	360	1.215	0.005	1.165	0.005	1.445	0.005	1.450	0.005	20390	NULL	1	0.180	20335	NULL
111	8-L-2257	0.1170	0.1160	3.965	0.005	0.905	0.005	6	4	360	1.620	0.005	1.620	0.005	1.905	0.005	1.905	0.005	20390	NULL	4	0.260	20335	NULL
112	8-L-2267	0.1170	0.1160	2.160	0.005	0.712	0.005	10	4	360	1.180	0.005	1.180	0.005	1.330	0.005	1.330	0.005	20390	NULL	1	0.170	20335	NULL
113	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
