id	part	cd_inner_dia_a	cd_inner_dia_a_tol	cd_crosssection_type	cd_xsec_dia_b	cd_xsec_dia_b_tol	cd_radial_section_dim_square	cd_radial_section_dim_tol	cd_axial_section_dim_square	cd_axial_section_dim_tol	cd_matl	cd_dash_no	cd_special_features	cd_show_special_features	cd_weight
72	8-B-6191	4.484	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20292	20089	NULL	NULL	NULL
73	8-C-1245	4.739	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19964	NULL	NULL	NULL
74	8-C-1246	1.925	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	20000	NULL	NULL	NULL
75	8-C-1730	NULL	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19935	NULL	NULL	NULL
76	8-C-2985	5.987	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20291	20028	NULL	NULL	NULL
77	8-C-3483	4.739	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19964	NULL	NULL	NULL
78	8-C-3492	5.609	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
79	8-C-3493	6.450	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
80	8-C-4161	7.000	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	NULL	NULL	NULL	NULL
81	8-C-5925	1.364	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
82	8-C-6214	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL
83	8-D-0407	5.237	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20291	20025	NULL	NULL	NULL
84	8-D-0921	4.362	0.005	20295	0.093	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
85	8-D-0922	1.864	0.005	20295	0.079	0.005	-99.000	0.005	-99.000	0.005	20292	19948	NULL	NULL	NULL
86	8-D-1117	4.016	0.005	20295	0.098	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
87	8-D-1125	4.921	0.005	20295	0.098	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
88	8-D-1337	5.984	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
89	8-D-1352	NULL	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
90	8-D-1373	6.800	0.005	20295	0.112	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
91	8-D-1818	1.378	0.005	20295	0.079	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
92	8-D-3175	4.213	0.005	20295	0.079	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
93	8-D-3550	1.280	0.005	20295	0.059	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
94	8-D-3617	2.992	0.005	20295	0.059	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
95	8-D-3618	2.480	0.005	20295	0.059	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
96	8-D-3619	3.622	0.005	20295	0.098	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
97	8-D-5582	6.456	0.005	20295	0.119	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
98	8-D-5748	6.804	0.005	20295	0.113	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
99	8-D-5813	2.362	0.005	20295	0.104	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
100	8-D-5895	NULL	0.005	20295	0.098	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
101	8-D-5955	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL
102	8-E-0359	1.929	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
103	8-E-0362	3.898	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
104	8-E-0367	2.953	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
105	8-E-0368	1.540	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
106	8-E-2831	5.079	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
107	8-E-2900	5.827	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20290	19916	NULL	NULL	NULL
108	8-E-2901	2.323	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
109	8-E-4381	2.364	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
110	8-E-4719	2.000	0.005	20295	0.120	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
111	8-E-4922	2.425	0.005	20295	0.069	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
112	8-G-0698	4.902	0.005	20295	0.122	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
113	8-G-0739	3.347	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
114	8-G-0740	1.732	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
115	8-G-1100	4.488	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20289	19916	NULL	NULL	NULL
116	8-G-3453	4.094	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
117	8-G-4720	2.450	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
118	8-G-4721	2.144	0.005	20295	0.090	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
119	8-G-4756	1.799	0.005	20295	0.120	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
120	8-G-4767	3.859	0.005	20295	0.114	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
121	8-G-4773	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL
122	8-G-5213	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL
123	8-H-1260	8.754	0.005	20296	NULL	0.005	NULL	0.005	NULL	0.005	20291	19916	NULL	NULL	NULL
124	8-H-1263	4.487	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	20022	NULL	NULL	NULL
125	8-H-1264	4.987	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	20024	NULL	NULL	NULL
126	8-J-1948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
127	8-K-1138	2.165	0.005	20295	0.079	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
128	8-L-2247	2.205	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
129	8-L-2255	3.734	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20291	20083	NULL	NULL	NULL
130	8-L-2264	NULL	0.005	20295	0.118	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
131	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
