id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
198	4-D-5573	0	7.595	NULL	6.630	NULL	NULL	NULL	4.095	NULL	NULL	NULL	NULL	NULL	19721	NULL	20991	20925	NULL	20411	NULL	-99.000	NULL	3.700	NULL	3.070	NULL	NULL	21065	3.685	NULL	4334.0	NULL	NULL	NULL	NULL
199	4-D-5596	0	2.313	NULL	2.124	NULL	NULL	NULL	1.179	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20909	NULL	20411	NULL	-99.000	NULL	2.637	NULL	1.860	NULL	NULL	21065	2.281	NULL	659.0	NULL	NULL	NULL	NULL
200	4-D-5619	0	2.832	NULL	2.578	NULL	NULL	NULL	1.852	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	2.325	NULL	1.967	NULL	NULL	21065	2.152	NULL	486.0	NULL	NULL	NULL	NULL
201	4-D-5671	0	4.440	NULL	3.455	NULL	NULL	NULL	1.727	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	3.641	NULL	4.189	NULL	1.854	NULL	NULL	21067	2.080	NULL	1132.0	NULL	NULL	NULL	NULL
202	4-D-5673	0	2.310	NULL	2.124	NULL	NULL	NULL	1.179	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	-99.000	NULL	2.447	NULL	1.842	NULL	NULL	21065	2.280	NULL	690.0	NULL	NULL	NULL	NULL
203	4-D-5734	1	4.440	NULL	-99.000	NULL	NULL	NULL	3.442	NULL	NULL	NULL	NULL	NULL	19721	NULL	20943	20909	NULL	20963	NULL	3.915	NULL	4.243	NULL	2.047	NULL	NULL	21068	2.057	NULL	1357.0	NULL	NULL	NULL	NULL
204	4-D-5751	0	2.833	NULL	1.571	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20975	20925	NULL	20411	NULL	-99.000	NULL	3.227	NULL	2.520	NULL	NULL	21065	3.030	NULL	1305.0	NULL	NULL	NULL	NULL
205	4-D-5757	0	2.833	NULL	-99.000	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20411	NULL	-99.000	NULL	3.228	NULL	2.521	NULL	NULL	21065	3.014	NULL	NULL	NULL	NULL	NULL	NULL
206	4-D-5761	0	2.833	NULL	1.571	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20411	NULL	-99.000	NULL	3.464	NULL	2.520	NULL	NULL	21065	3.030	NULL	1338.0	NULL	NULL	NULL	NULL
207	4-D-5882	0	4.092	NULL	2.774	NULL	NULL	NULL	1.852	NULL	NULL	NULL	NULL	NULL	19721	NULL	20939	20909	NULL	20411	NULL	-99.000	NULL	3.993	NULL	1.731	NULL	1.0	21066	2.171	NULL	NULL	NULL	NULL	NULL	NULL
208	4-D-6067	1	4.442	0.005	1.744	0.005	1.412	0.005	-99.000	-99.000	0.5148	0.5144	0.551	0.001	19720	0	20411	20411	20909	20975	20411	3.030	0.005	2.162	0.005	1.580	0.005	-99.0	21065	2.076	0.005	1194.3	NULL	20909	30.0	0.060
