id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
148	4-B-4976	1	6.000	NULL	5.725	NULL	NULL	NULL	3.325	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20991	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	3088.0	NULL	NULL	NULL	NULL
149	4-B-4977	1	6.000	NULL	5.725	NULL	NULL	NULL	3.120	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20991	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	3166.5	NULL	NULL	NULL	NULL
150	4-B-4978	0	6.000	NULL	5.725	NULL	NULL	NULL	3.430	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	2529.0	NULL	NULL	NULL	NULL
151	4-B-4979	0	6.000	NULL	5.725	NULL	NULL	NULL	3.325	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	2526.0	NULL	NULL	NULL	NULL
152	4-B-5199	0	4.996	0.005	4.457	0.005	1.860	0.005	3.445	0.005	0.6260	0.6240	0.760	0.005	19721	1	20963	20411	20925	20411	20411	3.945	0.005	3.223	0.005	2.691	0.005	-99.0	21065	3.600	NULL	1900.0	NULL	20411	45.0	0.086
153	4-B-5296	0	6.000	NULL	5.725	NULL	NULL	NULL	3.325	NULL	NULL	NULL	NULL	NULL	19721	NULL	20925	20925	NULL	20411	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	2490.0	NULL	NULL	NULL	NULL
154	4-B-5297	0	6.000	NULL	5.725	NULL	NULL	NULL	3.325	NULL	NULL	NULL	NULL	NULL	19721	NULL	20975	20925	NULL	20411	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	2570.0	NULL	20925	NULL	NULL
155	4-B-5342	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
156	4-B-5366	0	6.000	NULL	5.725	NULL	NULL	NULL	3.125	NULL	NULL	NULL	NULL	NULL	19721	NULL	20963	20925	NULL	20411	NULL	3.190	NULL	3.220	NULL	2.710	NULL	NULL	21065	3.600	NULL	2530.0	NULL	NULL	NULL	NULL
157	4-B-5711	0	7.750	NULL	6.960	NULL	NULL	NULL	3.950	NULL	NULL	NULL	NULL	NULL	19721	NULL	20991	20925	NULL	20411	NULL	-99.000	NULL	3.620	NULL	3.110	NULL	NULL	21065	4.000	NULL	3750.0	NULL	NULL	NULL	NULL
