id	part	cd_installed_diameter_a	cd_gap_b_installed_diameter	cd_thickness_c	cd_thickness_c_tol	cd_width_d	cd_width_d_upper_tol	cd_width_d_lower_tol	cd_material	cd_type	cd_weight	cd_diagram_
58	8-A-3109	0.687	0.006	0.030	0.005	0.0770	0.0000	0.0010	20329	20332	NULL	NULL
59	8-A-3110	0.697	0.006	0.033	0.005	0.0770	0.0000	0.0010	20329	20332	NULL	NULL
60	8-A-3335	0.601	0.006	0.034	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
61	8-A-3883	0.394	0.003	0.028	0.005	0.0645	0.0000	0.0010	20328	20332	NULL	NULL
62	8-A-5212	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63	8-A-6021	0.700	0.012	0.042	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
64	8-A-6039	0.837	0.012	0.050	0.005	0.1100	0.0000	0.0010	20328	20332	NULL	NULL
65	8-B-0070	0.635	0.006	0.034	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
66	8-B-0108	1.122	0.005	0.052	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
67	8-B-0387	0.885	0.006	0.044	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
68	8-B-0391	0.875	0.006	0.043	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
69	8-B-0395	0.760	0.004	0.038	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
70	8-B-0527	0.750	0.006	0.043	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
71	8-B-1574	0.895	0.006	0.047	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
72	8-B-1662	0.875	0.006	0.044	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
73	8-B-1664	0.874	0.006	0.044	0.005	0.0830	0.0000	0.0010	20329	20332	NULL	NULL
74	8-B-1668	0.885	0.006	0.044	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
75	8-B-1669	0.895	0.006	0.044	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
76	8-B-1670	0.885	0.006	0.044	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
77	8-B-1671	0.895	0.006	0.050	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
78	8-B-1675	0.770	0.004	0.036	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
79	8-B-1677	0.770	0.004	0.036	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
80	8-B-2879	0.750	0.005	0.044	0.005	0.0675	0.0000	0.0010	20328	20332	NULL	NULL
81	8-B-3090	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
82	8-B-4149	0.884	0.005	0.050	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
83	8-C-1553	0.760	0.004	0.036	0.005	0.0825	0.0000	0.0010	20328	20332	NULL	NULL
84	8-C-1684	0.770	0.004	0.036	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
85	8-C-1726	1.000	0.005	0.050	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
86	8-C-2037	1.010	0.005	0.050	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
87	8-C-2982	0.437	0.006	0.024	0.005	0.0450	0.0000	0.0010	20329	20332	NULL	NULL
88	8-C-2984	1.000	0.006	0.059	0.005	0.0775	0.0000	0.0010	20329	20332	NULL	NULL
89	8-C-2990	0.625	0.006	0.034	0.005	0.0585	0.0000	0.0010	20329	20332	NULL	NULL
90	8-C-2992	0.785	0.006	0.038	0.005	0.0575	0.0000	0.0010	20329	20332	NULL	NULL
