"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","url_path","page_layout","manufacturer","status","visibility","seal_type","description","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","compressor_housing_diameter","compressor_wheel_diameter","overall_diameter","overall_height","piston_ring_diameter","secondary_diameter","style_compressor_wheel","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","country_of_manufacture","image","small_image","thumbnail","custom_design","options_container","gift_message_available","price","special_price","msrp","weight","enable_googlecheckout","tax_class_id","is_recurring","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to"
"admin","base","Backplate","simple","2,13","44708","0","Backplate/Seal Plate","backplate-seal-plate","backplate-seal-plate-2.html","No layout updates","Garrett","Enabled","Catalog, Search","Piston Ring/Dynamic","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","0","1","Backplate/Seal Plate","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Backplate","simple","2,13","44708-1","0","Backplate/Seal Plate","backplate-seal-plate","backplate-seal-plate.html","No layout updates","Garrett","Enabled","Catalog, Search","Piston Ring/Dynamic","asdf","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-27 18:14:32","","1","0","1","1","1","0.0000","1","0","0","1","1","Backplate/Seal Plate","0","simple","","","","","","","","","","Use config","Use config","",""," ","","","","","Block after Info Column","No","","","","","Yes","","No","","","","","","","","",""
